Movie Names,Release Year,Movie Genres,Movie IMDb Ratings,Movie Url,Movie Streaming Service
animal-2022,2023,Drama,6.4  (79k),https://www.justwatch.com/in/movie/animal-2022,Netflix
salaar,2023,Action & Adventure,6.5  (58k),https://www.justwatch.com/in/movie/salaar,Netflix
12th-fail,2023,Crime,9.1  (96k),https://www.justwatch.com/in/movie/12th-fail,Hotstar
sam-bahadur,2023,Mystery & Thriller,7.9  (12k),https://www.justwatch.com/in/movie/sam-bahadur,Zee5
aquaman-and-the-lost-kingdom,2023,Mystery & Thriller,5.7  (53k),https://www.justwatch.com/in/movie/aquaman-and-the-lost-kingdom,Apple TV
dunki,2023,Action & Adventure,7.2  (62k),https://www.justwatch.com/in/movie/dunki,Netflix
ssmb-28,2024,Crime,5.6  (18k),https://www.justwatch.com/in/movie/ssmb-28,Netflix
hanu-man,2024,Drama,8.5  (16k),https://www.justwatch.com/in/movie/hanu-man,Provider not found
oppenheimer,2023,Drama,8.4  (632k),https://www.justwatch.com/in/movie/oppenheimer,Apple TV
anyone-but-you,2023,Drama,6.4  (24k),https://www.justwatch.com/in/movie/anyone-but-you,Bookmyshow
the-marvels,2023,War & Military,5.6  (99k),https://www.justwatch.com/in/movie/the-marvels,Apple TV
neru,2023,History,7.6  (4k),https://www.justwatch.com/in/movie/neru,Hotstar
sapta-sagaradaache-ello-side-b,2023,Action & Adventure,8.1  (2k),https://www.justwatch.com/in/movie/sapta-sagaradaache-ello-side-b,Amazon Prime Video
nani30,2023,Fantasy,8.2  (12k),https://www.justwatch.com/in/movie/nani30,Netflix
captain-miller,2024,Science-Fiction,6.9  (4k),https://www.justwatch.com/in/movie/captain-miller,Amazon Prime Video
fighter-2022,2024,Comedy,7.4  (35k),https://www.justwatch.com/in/movie/fighter-2022,Provider not found
the-kerala-story,2023,Drama,7.1  (67k),https://www.justwatch.com/in/movie/the-kerala-story,Provider not found
jawan,2023,Kids & Family,7.0  (91k),https://www.justwatch.com/in/movie/jawan,Apple TV
devil-2023,2023,Action & Adventure,6.7  (3k),https://www.justwatch.com/in/movie/devil-2023,Amazon Prime Video
