Movie Names,Release Year,Movie Genres,Movie IMDb Ratings,Movie Url,Movie Streaming Service
salaar,2023,Mystery & Thriller,6.5  (59k),https://www.justwatch.com/in/movie/salaar,Netflix
animal-2022,2023,Action & Adventure,6.3  (80k),https://www.justwatch.com/in/movie/animal-2022,Netflix
12th-fail,2023,Crime,9.1  (97k),https://www.justwatch.com/in/movie/12th-fail,Hotstar
sam-bahadur,2023,Drama,7.9  (12k),https://www.justwatch.com/in/movie/sam-bahadur,Zee5
dunki,2023,Action & Adventure,7.0  (64k),https://www.justwatch.com/in/movie/dunki,Netflix
aquaman-and-the-lost-kingdom,2023,Drama,5.7  (55k),https://www.justwatch.com/in/movie/aquaman-and-the-lost-kingdom,Apple TV
ssmb-28,2024,Crime,5.5  (18k),https://www.justwatch.com/in/movie/ssmb-28,Netflix
the-kerala-story,2023,Mystery & Thriller,7.1  (67k),https://www.justwatch.com/in/movie/the-kerala-story,Zee5
anyone-but-you,2023,Drama,6.4  (29k),https://www.justwatch.com/in/movie/anyone-but-you,Bookmyshow
oppenheimer,2023,Drama,8.4  (637k),https://www.justwatch.com/in/movie/oppenheimer,Apple TV
hanu-man,2024,War & Military,8.5  (17k),https://www.justwatch.com/in/movie/hanu-man,Provider not found
neru,2023,History,7.6  (5k),https://www.justwatch.com/in/movie/neru,Hotstar
captain-miller,2024,Comedy,6.8  (4k),https://www.justwatch.com/in/movie/captain-miller,Amazon Prime Video
fighter-2022,2024,Drama,7.0  (35k),https://www.justwatch.com/in/movie/fighter-2022,Provider not found
sapta-sagaradaache-ello-side-b,2023,Action & Adventure,8.1  (2k),https://www.justwatch.com/in/movie/sapta-sagaradaache-ello-side-b,Amazon Prime Video
the-marvels,2023,Fantasy,5.6  (103k),https://www.justwatch.com/in/movie/the-marvels,Apple TV
ayalaan,2024,Science-Fiction,6.1  (2k),https://www.justwatch.com/in/movie/ayalaan,Sun Nxt
nani30,2023,Kids & Family,8.2  (13k),https://www.justwatch.com/in/movie/nani30,Netflix
migration,2023,Action & Adventure,6.7  (15k),https://www.justwatch.com/in/movie/migration,Amazon Video
the-beekeeper-2024,2024,Drama,6.4  (50k),https://www.justwatch.com/in/movie/the-beekeeper-2024,Bookmyshow
jawan,2023,Comedy,7.0  (91k),https://www.justwatch.com/in/movie/jawan,Apple TV
killers-of-the-flower-moon,2023,Romance,7.7  (201k),https://www.justwatch.com/in/movie/killers-of-the-flower-moon,Apple TV Plus
anatomie-dune-chute,2023,Drama,7.8  (65k),https://www.justwatch.com/in/movie/anatomie-dune-chute,Provider not found
parking-2023,2023,History,7.9  (8k),https://www.justwatch.com/in/movie/parking-2023,Hotstar
society-of-the-snow,2023,Comedy,7.9  (100k),https://www.justwatch.com/in/movie/society-of-the-snow,Netflix
mission-impossible-7,2023,Fantasy,7.7  (229k),https://www.justwatch.com/in/movie/mission-impossible-7,Apple TV
guthlee-ladoo,2023,Action & Adventure,7.8  (1k),https://www.justwatch.com/in/movie/guthlee-ladoo,Amazon Prime Video
tiger-3,2023,Drama,5.8  (51k),https://www.justwatch.com/in/movie/tiger-3,Amazon Prime Video
saindhav,2024,Mystery & Thriller,5.1  (1k),https://www.justwatch.com/in/movie/saindhav,Amazon Prime Video
barbie-2023,2023,Action & Adventure,6.9  (493k),https://www.justwatch.com/in/movie/barbie-2023,Apple TV
bhakshak,2024,Drama,7.3  (2k),https://www.justwatch.com/in/movie/bhakshak,Netflix
poor-things,2023,Mystery & Thriller,6.8  (1k),https://www.justwatch.com/in/movie/poor-things,Provider not found
joram,2023,Mystery & Thriller,7.6  (2k),https://www.justwatch.com/in/movie/joram,Amazon Video
joe-2023,2023,Action & Adventure,7.9  (84k),https://www.justwatch.com/in/movie/joe-2023,Provider not found
past-lives,2023,War & Military,8.3  (7k),https://www.justwatch.com/in/movie/past-lives,Lionsgate Play
pindam,2023,Action & Adventure,8.7  (2m),https://www.justwatch.com/in/movie/pindam,Amazon Prime Video
talk-to-me-2022,2023,Science-Fiction,7.1  (94k),https://www.justwatch.com/in/movie/talk-to-me-2022,Apple TV
wonka,2023,Action & Adventure,7.0  (171k),https://www.justwatch.com/in/movie/wonka,Provider not found
saltburn,2023,Fantasy,6.1  (6k),https://www.justwatch.com/in/movie/saltburn,Provider not found
upgraded,2024,Action & Adventure,6.7  (3k),https://www.justwatch.com/in/movie/upgraded,Amazon Prime Video
devil-2023,2023,Science-Fiction,5.5  (32k),https://www.justwatch.com/in/movie/devil-2023,Amazon Prime Video
lift-0,2024,Science-Fiction,8.8  (39k),https://www.justwatch.com/in/movie/lift-0,Netflix
777-charlie,2022,Drama,6.0  (88k),https://www.justwatch.com/in/movie/777-charlie,Voot
blue-beetle,2023,Action & Adventure,8.2  (5k),https://www.justwatch.com/in/movie/blue-beetle,Apple TV
dada-2023,2023,Drama,8.0  (95k),https://www.justwatch.com/in/movie/dada-2023,Amazon Prime Video
the-holdovers,2023,Romance,5.9  (7k),https://www.justwatch.com/in/movie/the-holdovers,Bookmyshow
badland-hunters,2024,Kids & Family,7.6  (2k),https://www.justwatch.com/in/movie/badland-hunters,Netflix
kaathal-the-core,2023,Comedy,7.6  (848k),https://www.justwatch.com/in/movie/kaathal-the-core,Amazon Prime Video
zara-hatke-zara-bach-ke,2023,Mystery & Thriller,7.2  (56k),https://www.justwatch.com/in/movie/zara-hatke-zara-bach-ke,Provider not found
leo-2023,2023,Action & Adventure,6.0  (11k),https://www.justwatch.com/in/movie/leo-2023,Netflix
yaariyan-2,2023,Action & Adventure,7.8,https://www.justwatch.com/in/movie/yaariyan-2,Provider not found
warning-2,2024,Mystery & Thriller,8.0  (8k),https://www.justwatch.com/in/movie/warning-2,Provider not found
atharva,2023,Crime,5.1  (2k),https://www.justwatch.com/in/movie/atharva,Amazon Prime Video
extra,2023,History,7.7  (19k),https://www.justwatch.com/in/movie/extra,Hotstar
merry-christmas-2024,2024,Drama,6.5  (41k),https://www.justwatch.com/in/movie/merry-christmas-2024,Provider not found
rocky-aur-rani-ki-prem-kahani,2023,Romance,6.7  (1k),https://www.justwatch.com/in/movie/rocky-aur-rani-ki-prem-kahani,Amazon Prime Video
mangalavaram,2023,Western,8.8  (2m),https://www.justwatch.com/in/movie/mangalavaram,Hotstar
chittha,2023,Drama,7.2  (37k),https://www.justwatch.com/in/movie/chittha,Hotstar
untitled-shahid-kapoor-kriti-sanon-film,2024,Mystery & Thriller,6.1  (18k),https://www.justwatch.com/in/movie/untitled-shahid-kapoor-kriti-sanon-film,Bookmyshow
saben-aquell,2023,Drama,8.3  (43k),https://www.justwatch.com/in/movie/saben-aquell,Provider not found
godzilla-minus-one,2023,Drama,7.0  (2k),https://www.justwatch.com/in/movie/godzilla-minus-one,Provider not found
20-000-species-of-bees,2023,History,6.3  (35k),https://www.justwatch.com/in/movie/20-000-species-of-bees,Provider not found
the-family-plan,2023,Mystery & Thriller,7.5  (3k),https://www.justwatch.com/in/movie/the-family-plan,Apple TV Plus
