Show names,Release year,Genere,url,Imdb Ratings,streaming service
indian-police-force,2024.0,Action & Adventure,https://www.justwatch.com/in/tv-show/indian-police-force,4.6  (57k),Amazon Prime Video
jack-reacher,2022.0,Crime,https://www.justwatch.com/in/tv-show/jack-reacher,8.1  (198k),Amazon Prime Video
death-and-other-details,2024.0,Mystery & Thriller,https://www.justwatch.com/in/tv-show/death-and-other-details,6.9  (3k),Hotstar
solo-leveling-2024,2024.0,Drama,https://www.justwatch.com/in/tv-show/solo-leveling-2024,8.5  (8k),Crunchyroll
mr-and-mrs-smith,2024.0,Fantasy,https://www.justwatch.com/in/tv-show/mr-and-mrs-smith,6.9  (20k),Amazon Prime Video
farzi,2023.0,Mystery & Thriller,https://www.justwatch.com/in/tv-show/farzi,8.4  (44k),Amazon Prime Video
halo,2022.0,Drama,https://www.justwatch.com/in/tv-show/halo,7.2  (77k),Voot
one-day,2024.0,Mystery & Thriller,https://www.justwatch.com/in/tv-show/one-day,8.2  (10k),Netflix
the-last-of-us,2023.0,Mystery & Thriller,https://www.justwatch.com/in/tv-show/the-last-of-us,8.8  (499k),Jio Cinema
masters-of-the-air,2024.0,Drama,https://www.justwatch.com/in/tv-show/masters-of-the-air,7.9  (12k),Apple TV Plus
griselda,2024.0,Fantasy,https://www.justwatch.com/in/tv-show/griselda,7.3  (25k),Netflix
berlin,2023.0,Animation,https://www.justwatch.com/in/tv-show/berlin,7.0  (25k),Netflix
love-never-lies-poland,2022.0,Science-Fiction,https://www.justwatch.com/in/tv-show/love-never-lies-poland,,Netflix
monarch-legacy-of-monsters,2023.0,Reality TV,https://www.justwatch.com/in/tv-show/monarch-legacy-of-monsters,7.0  (33k),Apple TV Plus
the-bear,2022.0,Action & Adventure,https://www.justwatch.com/in/tv-show/the-bear,8.6  (196k),Hotstar
the-freelancer,2023.0,Mystery & Thriller,https://www.justwatch.com/in/tv-show/the-freelancer,8.1  (5k),Hotstar
killer-soup,2024.0,Animation,https://www.justwatch.com/in/tv-show/killer-soup,6.3  (3k),Netflix
my-demon,2023.0,Animation,https://www.justwatch.com/in/tv-show/my-demon,7.8  (6k),Netflix
expats,2024.0,Fantasy,https://www.justwatch.com/in/tv-show/expats,5.9  (2k),Amazon Prime Video
the-railway-men-the-untold-story-of-bhopal-1984,2023.0,Crime,https://www.justwatch.com/in/tv-show/the-railway-men-the-untold-story-of-bhopal-1984,8.5  (19k),Netflix
ted,2024.0,Drama,https://www.justwatch.com/in/tv-show/ted,8.0  (19k),Provider not found
percy-jackson-and-the-olympians,2023.0,Science-Fiction,https://www.justwatch.com/in/tv-show/percy-jackson-and-the-olympians,7.2  (29k),Provider not found
house-of-the-dragon,2022.0,Mystery & Thriller,https://www.justwatch.com/in/tv-show/house-of-the-dragon,8.4  (362k),Jio Cinema
mashle-magic-and-muscles,2023.0,Romance,https://www.justwatch.com/in/tv-show/mashle-magic-and-muscles,7.5  (5k),Crunchyroll
scam-2003-the-telgi-story,2023.0,Drama,https://www.justwatch.com/in/tv-show/scam-2003-the-telgi-story,,Sony Liv
taaza-khabar,2023.0,Action & Adventure,https://www.justwatch.com/in/tv-show/taaza-khabar,8.1  (47k),Hotstar
deaths-game,2023.0,Romance,https://www.justwatch.com/in/tv-show/deaths-game,8.6  (7k),Amazon Prime Video
alexander-the-making-of-a-god,2024.0,Fantasy,https://www.justwatch.com/in/tv-show/alexander-the-making-of-a-god,5.2  (10k),Netflix
fool-me-once,2024.0,Science-Fiction,https://www.justwatch.com/in/tv-show/fool-me-once,,Netflix
tokyo-vice,2022.0,Mystery & Thriller,https://www.justwatch.com/in/tv-show/tokyo-vice,8.3  (19k),Lionsgate Play
one-piece-2023,2023.0,Action & Adventure,https://www.justwatch.com/in/tv-show/one-piece-2023,8.1  (1m),Netflix
coegangyagu,2022.0,Mystery & Thriller,https://www.justwatch.com/in/tv-show/coegangyagu,8.7  (1m),Netflix
dehati-ladke,2023.0,Drama,https://www.justwatch.com/in/tv-show/dehati-ladke,8.4  (124k),Amazon miniTV
